    222    Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz
    220    Intel(R) Core(TM) i7 CPU         870  @ 2.93GHz
    217    Intel(R) Core(TM) i5-2450M CPU @ 2.50GHz
    216    Intel(R) Pentium(R) CPU G4400 @ 3.30GHz
    216    Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz
    215    Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz
    215    AMD Ryzen 7 1700 Eight-Core Processor 
    209    Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz
    208    Pentium(R) Dual-Core  CPU      E5800  @ 3.20GHz
    207    Intel(R) Pentium(R) CPU G3250 @ 3.20GHz
    202    Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz
    199    Intel(R) Core(TM) i5-4590S CPU @ 3.00GHz
    199    AMD FX(tm)-6300 Six-Core Processor              
    193    Intel(R) Core(TM) i7-4700MQ CPU @ 2.40GHz
    187    Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz
    186    Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz
    185    Intel(R) Core(TM) i3 CPU         540  @ 3.07GHz
    183    Intel(R) Core(TM) i5-2320 CPU @ 3.00GHz
    183    Intel(R) Core(TM)2 CPU          6700  @ 2.66GHz
    183    Intel(R) Core(TM)2 CPU          6300  @ 1.86GHz
    181    Pentium(R) Dual-Core  CPU      E5200  @ 2.50GHz
    179    Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz
    178    Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz
    175    Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz
    175    AMD Athlon(tm) II X2 250 Processor 
    174    Intel(R) Pentium(R) CPU G620 @ 2.60GHz
    174    Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz
    173    Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz
    172    Intel(R) Core(TM) i7-2630QM CPU @ 2.00GHz
    170    Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz
    170    AArch64 Processor rev 1 (aarch64)
    169    Intel(R) Pentium(R) CPU G3240 @ 3.10GHz
    169    AMD FX(tm)-6300 Six-Core Processor 
    166    Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz
    165    Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz
    165    Intel(R) Core(TM) i3-4005U CPU @ 1.70GHz
    161    Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz
    161    Intel(R) Core(TM) i3-3110M CPU @ 2.40GHz
    159    Intel(R) Core(TM) i3-2350M CPU @ 2.30GHz
    158    AMD Phenom(tm) II X6 1055T Processor 
    157    Intel(R) Core(TM)2 Duo CPU     E7400  @ 2.80GHz
    156    Intel(R) Core(TM) i3-2310M CPU @ 2.10GHz
    155    Intel(R) Core(TM) i7-4710HQ CPU @ 2.50GHz
    154    Intel(R) Xeon(R) CPU           X5355  @ 2.66GHz
    154    ARMv7 Processor rev 2 (v7l)
    153    Intel(R) Xeon(R) CPU @ 2.30GHz
    153    AMD FX(tm)-8320 Eight-Core Processor            
    151    Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
    147    Intel(R) Core(TM) i5-2430M CPU @ 2.40GHz
    147    Intel(R) Core(TM) i3-5005U CPU @ 2.00GHz
    146    Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz
    145    Intel(R) Pentium(R) 4 CPU 3.20GHz
    145    Intel(R) Core(TM) i7 CPU         950  @ 3.07GHz
    144    Intel(R) Core(TM) i7-3820 CPU @ 3.60GHz
    143    Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz
    143    Intel(R) Core(TM)2 Duo CPU     E4500  @ 2.20GHz
